method,epsilon,cosine_similarity
fgsm,0.001,0.6648639638681404
fgsm,0.001,0.9009062706884
fgsm,0.001,0.9878807067871094
fgsm,0.001,0.7539920357470504
fgsm,0.001,0.8485307783764152
fgsm,0.001,0.9374690055847168
fgsm,0.001,0.48029381036758423
fgsm,0.001,0.8446947243627757
fgsm,0.001,0.9136114716529846
fgsm,0.001,0.9004325866699219
fgsm,0.001,0.40154845719183874
fgsm,0.001,0.6516081898445981
fgsm,0.001,0.5851851105690002
fgsm,0.001,-0.1429876685142517
fgsm,0.001,0.8368245460495638
fgsm,0.001,0.7794331312179565
fgsm,0.001,0.5642876625061035
fgsm,0.001,0.5634627342224121
fgsm,0.001,0.6891640239455726
fgsm,0.001,0.715896725654602
fgsm,0.001,0.3004564046859741
fgsm,0.001,0.7710843086242676
fgsm,0.001,0.6307907104492188
fgsm,0.001,0.8055936934230836
fgsm,0.001,0.7929969070254839
fgsm,0.001,0.7782859802246094
fgsm,0.001,0.8165113439255166
fgsm,0.001,0.7188798617649009
fgsm,0.001,0.6957556216643939
fgsm,0.001,0.6819494556218723
fgsm,0.001,0.955877241842584
fgsm,0.001,0.8814129829406738
fgsm,0.001,0.29424890875816345
fgsm,0.001,0.7388933456603691
fgsm,0.001,0.5611137486168006
fgsm,0.001,0.7340501169577279
fgsm,0.001,0.8215499626666344
fgsm,0.001,0.6044821323300046
fgsm,0.001,0.8240349783918264
fgsm,0.001,0.8253739476203918
fgsm,0.001,0.49641209840774536
fgsm,0.001,0.7737075686454773
fgsm,0.001,0.9339579304431652
fgsm,0.001,0.5646350979804993
fgsm,0.001,0.8602849245071411
fgsm,0.001,-0.0023565059527754784
fgsm,0.001,0.7392799854278564
fgsm,0.001,0.12477657942632336
fgsm,0.001,0.7250941231902924
fgsm,0.001,0.14963436126708984
fgsm,0.001,0.6282386779785156
fgsm,0.001,0.8083002097875099
fgsm,0.001,0.6355168440629945
fgsm,0.001,0.5035847725620739
fgsm,0.001,0.6532924381916273
fgsm,0.001,0.7574701309204102
fgsm,0.001,0.8605566024780273
fgsm,0.001,0.6214259637252082
fgsm,0.001,0.918020270885853
fgsm,0.001,0.26306504011154175
fgsm,0.001,0.3902963101863861
fgsm,0.001,0.700359067331525
fgsm,0.001,0.8955651459434731
fgsm,0.001,0.98966383934021
fgsm,0.001,0.9895815259467663
fgsm,0.001,0.70149244657204
fgsm,0.001,0.943961557386016
fgsm,0.001,0.9318082332611084
fgsm,0.001,0.6789320707321167
fgsm,0.001,0.23835320701320262
fgsm,0.001,0.740549072059935
fgsm,0.001,0.9437575373794133
fgsm,0.001,0.5432018637657166
fgsm,0.001,0.7282545025576236
fgsm,0.001,0.9002933502197266
fgsm,0.001,0.9591778753963034
fgsm,0.001,0.9605856514326143
fgsm,0.001,0.777714633277495
fgsm,0.001,0.8081541061401367
fgsm,0.001,0.9056001901626587
fgsm,0.001,0.9371997676610825
fgsm,0.001,0.7522232680187675
fgsm,0.001,0.6318681428393171
fgsm,0.001,0.6230453438474343
fgsm,0.001,0.5364954631476244
fgsm,0.001,0.9135901008126174
fgsm,0.001,0.744347647169374
fgsm,0.001,0.12696135777465378
fgsm,0.001,0.7320888798183883
fgsm,0.001,0.9260373391520188
fgsm,0.001,0.9064325746040018
fgsm,0.001,0.9475136399269104
fgsm,0.001,0.9176619052886963
fgsm,0.001,0.7731312648575758
fgsm,0.001,0.7189292740183649
fgsm,0.001,0.722381591796875
fgsm,0.001,0.7405199563193361
fgsm,0.001,0.919320069490681
fgsm,0.001,0.5246740892335239
fgsm,0.001,0.965329110622406
fgsm,0.001,0.8061878681182861
fgsm,0.001,0.8374569069581306
fgsm,0.001,0.7521810827039435
fgsm,0.001,0.7935031888932944
fgsm,0.001,0.9277649202276746
fgsm,0.001,0.872003436088562
fgsm,0.001,0.8972778916358948
fgsm,0.001,0.5433558769993967
fgsm,0.001,0.6193149274383466
fgsm,0.001,0.5293090343475342
fgsm,0.001,0.8666694680851397
fgsm,0.001,0.698712128477567
fgsm,0.001,0.7059930002087085
